season,date,opponent,venue,score,outcome,scorers,competition,cup_round,game_no,comp_game_no,goals_for,goals_against,attendance,manager,referee,game_type,points,ssn_pts,ppg
1952/53,1952-08-23T00:00:00Z,Ilfracombe Town,A,0-3,L,NA,WL1,NA,1,1,0,3,NA,NA,NA,league,0,0,0
1952/53,1952-08-27T00:00:00Z,Peasedown Miners Welfare,H,1-2,L,Fielding,WL1,NA,2,2,1,2,NA,NA,NA,league,0,0,0
1952/53,1952-08-30T00:00:00Z,Yeovil Town Reserves,H,3-2,W,"Bird 2, Wood",WL1,NA,3,3,3,2,NA,NA,NA,league,3,3,1
1952/53,1952-09-03T00:00:00Z,Peasedown Miners Welfare,A,0-3,L,NA,WL1,NA,4,4,0,3,NA,NA,NA,league,0,3,0.75
1952/53,1952-09-06T00:00:00Z,Clevedon,A,0-2,L,NA,WL1,NA,5,5,0,2,NA,NA,NA,league,0,3,0.6
1952/53,1952-09-11T00:00:00Z,Stonehouse Reserves,A,3-6,L,Unknown,WL1,NA,6,6,3,6,NA,NA,NA,league,0,3,0.5
1952/53,1952-09-13T00:00:00Z,Salisbury,A,1-7,L,Lear,FAC,P,7,1,1,7,NA,NA,NA,cup,NA,NA,NA
1952/53,1952-09-20T00:00:00Z,Shepton Mallet Town,H,2-2,D,Ferris 2,FAAm,P,8,1,2,2,NA,NA,NA,cup,NA,NA,NA
1952/53,1952-09-27T00:00:00Z,Shepton Mallet Town,A,0-1,L,NA,FAAm,1Q,9,2,0,1,NA,NA,NA,cup,NA,NA,NA
1952/53,1952-10-11T00:00:00Z,Poole Town,H,2-3,L,Lear 2,WL1,NA,10,7,2,3,NA,NA,NA,league,0,3,0.42857142857142855
1952/53,1952-11-08T00:00:00Z,Bristol Rovers Colts,A,0-6,L,NA,WL1,NA,11,8,0,6,NA,NA,NA,league,0,3,0.375
1952/53,1952-11-15T00:00:00Z,Cinderford Town,H,4-1,W,"Heal 2, Ferris, Bird",WL1,NA,12,9,4,1,NA,NA,NA,league,3,6,0.6666666666666666
1952/53,1952-11-22T00:00:00Z,Ilfracombe Town,H,1-5,L,Jeans,WL1,NA,13,10,1,5,NA,NA,NA,league,0,6,0.6
1952/53,1952-12-13T00:00:00Z,Peasedown Miners Welfare,H,2-7,L,"Hobbs, Bird",SSC,2,14,1,2,7,NA,NA,NA,cup,NA,NA,NA
1952/53,1952-12-20T00:00:00Z,Minehead,H,1-1,D,Bird,WL1,NA,15,11,1,1,NA,NA,NA,league,1,7,0.6363636363636364
1952/53,1952-12-25T00:00:00Z,Radstock Town,H,3-1,W,"Gibbs, Heal, Bird",WL1,NA,16,12,3,1,NA,NA,NA,league,3,10,0.8333333333333334
1952/53,1952-12-26T00:00:00Z,Frome Town,A,1-1,D,Gane,WL1,NA,17,13,1,1,NA,NA,NA,league,1,11,0.8461538461538461
1952/53,1952-12-27T00:00:00Z,Frome Town,H,2-1,W,"Hobbs, Heal",WL1,NA,18,14,2,1,NA,NA,NA,league,3,14,1
1952/53,1953-01-03T00:00:00Z,Yeovil Town Reserves,A,1-0,W,Bird,WL1,NA,19,15,1,0,NA,NA,NA,league,3,17,1.1333333333333333
1952/53,1953-01-10T00:00:00Z,Bristol City Colts,H,0-2,L,NA,WL1,NA,20,16,0,2,NA,NA,NA,league,0,17,1.0625
1952/53,1953-01-17T00:00:00Z,Chippenham Town Reserves,A,2-0,W,"Ferris, Heal",WL1,NA,21,17,2,0,NA,NA,NA,league,3,20,1.1764705882352942
1952/53,1953-01-24T00:00:00Z,Trowbridge Town Reserves,H,0-2,L,NA,WL1,NA,22,18,0,2,NA,NA,NA,league,0,20,1.1111111111111112
1952/53,1953-02-07T00:00:00Z,Hoffman Athletic,A,2-2,D,"Lear, Hobbs",WL1,NA,23,19,2,2,NA,NA,NA,league,1,21,1.105263157894737
1952/53,1953-02-14T00:00:00Z,Bristol Rovers Colts,H,0-4,L,NA,WL1,NA,24,20,0,4,NA,NA,NA,league,0,21,1.05
1952/53,1953-02-21T00:00:00Z,Bristol City Colts,A,0-6,L,NA,WL1,NA,25,21,0,6,NA,NA,NA,league,0,21,1
1952/53,1953-02-28T00:00:00Z,Weston-super-Mare,H,6-2,W,"Tarr 3, Heal 3",WL1,NA,26,22,6,2,NA,NA,NA,league,3,24,1.0909090909090908
1952/53,1953-03-07T00:00:00Z,Trowbridge Town Reserves,A,1-7,L,Bird,WL1,NA,27,23,1,7,NA,NA,NA,league,0,24,1.0434782608695652
1952/53,1953-03-21T00:00:00Z,Minehead,A,2-3,L,"Bird, Hobbs",WL1,NA,28,24,2,3,NA,NA,NA,league,0,24,1
1952/53,1953-03-28T00:00:00Z,Hoffman Athletic,H,2-0,W,Tarr 2,WL1,NA,29,25,2,0,NA,NA,NA,league,3,27,1.08
1952/53,1953-04-03T00:00:00Z,Radstock Town,A,2-2,D,NA,WL1,NA,30,26,2,2,NA,NA,NA,league,1,28,1.0769230769230769
1952/53,1953-04-06T00:00:00Z,Weston-super-Mare,A,2-0,W,"Hill, Tarr",WL1,NA,31,27,2,0,NA,NA,NA,league,3,31,1.1481481481481481
1952/53,1953-04-11T00:00:00Z,Gloucester City Reserves,H,0-2,L,Heal 2,WL1,NA,32,28,0,2,NA,NA,NA,league,0,31,1.1071428571428572
1952/53,1953-04-18T00:00:00Z,Chippenham Town Reserves,H,4-6,L,NA,WL1,NA,33,29,4,6,NA,NA,NA,league,0,31,1.0689655172413792
1952/53,1953-04-22T00:00:00Z,Stonehouse Reserves,H,0-0,D,"Bird 2, Minall, Tarr",WL1,NA,34,30,0,0,NA,NA,NA,league,1,32,1.0666666666666667
1952/53,1953-04-25T00:00:00Z,Gloucester City Reserves,A,1-6,L,NA,WL1,NA,35,31,1,6,NA,NA,NA,league,0,32,1.032258064516129
1952/53,1953-04-27T00:00:00Z,Cinderford Town,A,5-6,L,Unknown,WL1,NA,36,32,5,6,NA,NA,NA,league,0,32,1
1952/53,1953-04-29T00:00:00Z,Clevedon,H,0-0,D,"Hobbs 2, Bird 2, Tarr",WL1,NA,37,33,0,0,NA,NA,NA,league,1,33,1
1952/53,1953-05-02T00:00:00Z,Poole Town,A,0-9,L,NA,WL1,NA,38,34,0,9,NA,NA,NA,league,0,33,0.9705882352941176
1953/54,1953-08-22T00:00:00Z,Bristol City Colts,A,0-2,L,NA,WL1,NA,1,1,0,2,NA,NA,NA,league,0,0,0
1953/54,1953-08-26T00:00:00Z,Paulton Rovers,A,1-2,L,Tarr,WL1,NA,2,2,1,2,NA,NA,NA,league,0,0,0
1953/54,1953-08-29T00:00:00Z,Chippenham Town Reserves,H,1-2,L,Knowles,WL1,NA,3,3,1,2,NA,NA,NA,league,0,0,0
1953/54,1953-09-02T00:00:00Z,Paulton Rovers,H,1-0,W,Knowles,WL1,NA,4,4,1,0,NA,NA,NA,league,3,3,0.75
1953/54,1953-09-12T00:00:00Z,Frome Town,A,3-5,L,"Wally Ford 2, Payne",WL1,NA,5,5,3,5,NA,NA,NA,league,0,3,0.6
1953/54,1953-09-19T00:00:00Z,Shepton Mallet Town,H,3-2,W,"Fielding, England, Payne",FAAm,PR,6,1,3,2,NA,NA,NA,cup,NA,NA,NA
1953/54,1953-09-26T00:00:00Z,Spencer Moulton,A,5-3,W,"Wally Ford 2, Woodland, Fielding, Lear",FAC,1Q,7,1,5,3,NA,NA,NA,cup,NA,NA,NA
1953/54,1953-10-03T00:00:00Z,Paulton Rovers,H,4-0,W,"Fielding, Wally Ford 3",FAAm,1,8,2,4,0,NA,NA,NA,cup,NA,NA,NA
1953/54,1953-10-10T00:00:00Z,Trowbridge Town,H,0-3,L,NA,FAC,2Q,9,2,0,3,NA,NA,NA,cup,NA,NA,NA
1953/54,1953-10-17T00:00:00Z,Radstock Town,A,5-2,W,"Payne, Lear, Woodland 2, OG",FAAm,2,10,3,5,2,NA,NA,NA,cup,NA,NA,NA
1953/54,1953-10-24T00:00:00Z,Stonehouse Reserves,H,2-0,W,Wally Ford 2,WL1,NA,11,6,2,0,NA,NA,NA,league,3,6,1
1953/54,1953-10-31T00:00:00Z,Bulford United,A,3-4,L,Compton 3,FAAm,3,12,4,3,4,NA,NA,NA,cup,NA,NA,NA
1953/54,1953-11-07T00:00:00Z,Frome Town,H,2-1,W,"Wally Ford, Compton",WL1,NA,13,7,2,1,NA,NA,NA,league,3,9,1.2857142857142858
1953/54,1953-11-14T00:00:00Z,Poole Town Reserveses,A,2-1,W,"Wally Ford, Woodland",WL1,NA,14,8,2,1,NA,NA,NA,league,3,12,1.5
1953/54,1953-11-21T00:00:00Z,Cinderford Town,H,2-1,W,"Wally Ford, Fielding",WL1,NA,15,9,2,1,NA,NA,NA,league,3,15,1.6666666666666667
1953/54,1953-11-28T00:00:00Z,Chippenham Town Reserves,A,2-4,L,"Woodland, Lear",WL1,NA,16,10,2,4,NA,NA,NA,league,0,15,1.5
1953/54,1953-12-05T00:00:00Z,Highbridge Town,H,8-2,W,"Compton 4, Wally Ford 2, Leslie Dix 2",SSC,2,17,1,8,2,NA,NA,NA,cup,NA,NA,NA
1953/54,1953-12-12T00:00:00Z,Yeovil Town Reserves,H,3-2,W,"Woodland, Field, Wally Ford",WL1,NA,18,11,3,2,NA,NA,NA,league,3,18,1.6363636363636365
1953/54,1953-12-26T00:00:00Z,Bristol Rovers Colts,H,0-4,L,NA,WL1,NA,19,12,0,4,NA,NA,NA,league,0,18,1.5
1953/54,1954-01-02T00:00:00Z,Bishop Sutton,H,6-1,W,"Compton 3, Woodland, Wally Ford 2",SSC,3,20,2,6,1,NA,NA,NA,cup,NA,NA,NA
1953/54,1954-01-09T00:00:00Z,Peasedown Miners Welfare,H,2-4,L,"Wally Ford, Leslie Dix",WL1,NA,21,13,2,4,NA,NA,NA,league,0,18,1.3846153846153846
1953/54,1954-01-16T00:00:00Z,Bristol Rovers Colts,A,1-3,L,Woodland,WL1,NA,22,14,1,3,NA,NA,NA,league,0,18,1.2857142857142858
1953/54,1954-01-23T00:00:00Z,Weston-super-Mare,H,3-3,D,Leslie Dix 3,WL1,NA,23,15,3,3,NA,NA,NA,league,1,19,1.2666666666666666
1953/54,1954-02-06T00:00:00Z,RAF Locking,A,4-1,W,"Leslie Dix, Fielding, Wally Ford, Compton",SSC,QF,24,3,4,1,NA,NA,NA,cup,NA,NA,NA
1953/54,1954-02-13T00:00:00Z,Yeovil Town Reserves,A,2-2,D,"Leslie Dix, Lear",WL1,NA,25,16,2,2,NA,NA,NA,league,1,20,1.25
1953/54,1954-02-20T00:00:00Z,Bristol City Colts,H,0-1,L,NA,WL1,NA,26,17,0,1,NA,NA,NA,league,0,20,1.1764705882352942
1953/54,1954-02-27T00:00:00Z,Hoffman Athletic,A,2-0,W,"Wally Ford, Compton",WL1,NA,27,18,2,0,NA,NA,NA,league,3,23,1.2777777777777777
1953/54,1954-03-06T00:00:00Z,Clandown,A,0-2,L,NA,SSC,SF,28,4,0,2,NA,NA,NA,cup,NA,NA,NA
1953/54,1954-03-13T00:00:00Z,Peasedown Miners Welfare,A,6-0,W,"Leslie Dix 3, Wally Ford, Compton, Fielding",WL1,NA,29,19,6,0,NA,NA,NA,league,3,26,1.368421052631579
1953/54,1954-03-20T00:00:00Z,Trowbridge Town Reserves,H,3-2,W,"Wally Ford 2, Leslie Dix",WL1,NA,30,20,3,2,NA,NA,NA,league,3,29,1.45
1953/54,1954-03-27T00:00:00Z,Clevedon,H,2-0,W,"Fielding, Wally Ford",WL1,NA,31,21,2,0,NA,NA,NA,league,3,32,1.5238095238095237
1953/54,1954-03-31T00:00:00Z,Trowbridge Town Reserves,A,1-1,D,Wally Ford,WL1,NA,32,22,1,1,NA,NA,NA,league,1,33,1.5
1953/54,1954-04-03T00:00:00Z,Minehead,A,2-0,W,"Leslie Dix, Fielding",WL1,NA,33,23,2,0,NA,NA,NA,league,3,36,1.565217391304348
1953/54,1954-04-07T00:00:00Z,Clevedon,A,1-0,W,Unknown,WL1,NA,34,24,1,0,NA,NA,NA,league,3,39,1.625
1953/54,1954-04-14T00:00:00Z,Poole Town Reserves,H,2-1,W,Unknown,WL1,NA,35,25,2,1,NA,NA,NA,league,3,42,1.68
1953/54,1954-04-16T00:00:00Z,Radstock Town,H,0-2,L,NA,WL1,NA,36,26,0,2,NA,NA,NA,league,0,42,1.6153846153846154
1953/54,1954-04-17T00:00:00Z,Minehead,H,1-1,D,Leslie Dix,WL1,NA,37,27,1,1,NA,NA,NA,league,1,43,1.5925925925925926
1953/54,1954-04-19T00:00:00Z,Radstock Town,A,1-2,L,Pinker,WL1,NA,38,28,1,2,NA,NA,NA,league,0,43,1.5357142857142858
1953/54,1954-04-21T00:00:00Z,Cinderford Town,A,0-3,L,NA,WL1,NA,39,29,0,3,NA,NA,NA,league,0,43,1.4827586206896552
1953/54,1954-04-24T00:00:00Z,Gloucester City Reserves,A,2-1,W,"Leslie Dix, Woods",WL1,NA,40,30,2,1,NA,NA,NA,league,3,46,1.5333333333333334
1953/54,1954-04-26T00:00:00Z,Gloucester City Reserves,H,1-1,D,Fielding,WL1,NA,41,31,1,1,NA,NA,NA,league,1,47,1.5161290322580645
1953/54,1954-04-28T00:00:00Z,Stonehouse Reserves,A,2-1,W,Unknown,WL1,NA,42,32,2,1,NA,NA,NA,league,3,50,1.5625
1953/54,1954-04-29T00:00:00Z,Weston-super-Mare,A,1-1,D,NA,WL1,NA,43,33,1,1,NA,NA,NA,league,1,51,1.5454545454545454
1953/54,1954-05-01T00:00:00Z,Hoffman Athletic,H,2-1,W,Leslie Dix,WL1,NA,44,34,2,1,NA,NA,NA,league,3,54,1.588235294117647
1954/55,1954-08-21T00:00:00Z,Clevedon,A,4-2,W,"Hawkins 3, Wally Potts",WL1,NA,1,1,4,2,NA,NA,NA,league,3,3,3
1954/55,1954-08-25T00:00:00Z,Peasedown Miners Welfare,A,1-0,W,Hawkins,WL1,NA,2,2,1,0,NA,NA,NA,league,3,6,3
1954/55,1954-08-28T00:00:00Z,Chippenham Town Reserves,H,1-1,D,Hawkins,WL1,NA,3,3,1,1,NA,NA,NA,league,1,7,2.3333333333333335
1954/55,1954-09-01T00:00:00Z,Peasedown Miners Welfare,H,2-2,D,"Compton, Ford",WL1,NA,4,4,2,2,NA,NA,NA,league,1,8,2
1954/55,1954-09-04T00:00:00Z,Clandown,A,0-3,L,NA,FAAm,EP,5,1,0,3,NA,NA,NA,cup,NA,NA,NA
1954/55,1954-09-11T00:00:00Z,Swindon Victoria,H,3-7,L,"Grippey, Hawkins, Wally Potts",FAC,P,6,1,3,7,NA,NA,NA,cup,NA,NA,NA
1954/55,1954-09-18T00:00:00Z,Clevedon,H,0-2,L,NA,WL1,NA,7,5,0,2,NA,NA,NA,league,0,8,1.6
1954/55,1954-09-25T00:00:00Z,Chippenham Town Reserves,A,0-1,L,NA,WL1,NA,8,6,0,1,NA,NA,NA,league,0,8,1.3333333333333333
1954/55,1954-10-02T00:00:00Z,Gloucester City Reserves,A,0-3,L,NA,WL1,NA,9,7,0,3,NA,NA,NA,league,0,8,1.1428571428571428
1954/55,1954-10-09T00:00:00Z,Yeovil Town Reserves,H,3-1,W,"Fielding 2, Jock Guyan",WL1,NA,10,8,3,1,NA,NA,NA,league,3,11,1.375
1954/55,1954-10-16T00:00:00Z,Cinderford Town,A,1-8,L,Wally Potts,WL1,NA,11,9,1,8,NA,NA,NA,league,0,11,1.2222222222222223
1954/55,1954-10-23T00:00:00Z,Poole Town Reserves,A,2-2,D,"Jock Guyan, Wally Potts",WL1,NA,12,10,2,2,NA,NA,NA,league,1,12,1.2
1954/55,1954-10-30T00:00:00Z,Stonehouse,H,5-2,W,"Fielding, Wally Potts, Jock Guyan 3",WL1,NA,13,11,5,2,NA,NA,NA,league,3,15,1.3636363636363635
1954/55,1954-11-06T00:00:00Z,Paulton Rovers,H,6-2,W,"Fielding 3, Wally Potts 2, Dewfall",WL1,NA,14,12,6,2,NA,NA,NA,league,3,18,1.5
1954/55,1954-11-20T00:00:00Z,Cinderford Town,H,4-4,D,"Jock Guyan, Fielding, Wally Potts 2",WL1,NA,15,13,4,4,NA,NA,NA,league,1,19,1.4615384615384615
1954/55,1954-11-27T00:00:00Z,Frome Town,A,0-4,L,NA,WL1,NA,16,14,0,4,NA,NA,NA,league,0,19,1.3571428571428572
1954/55,1954-12-04T00:00:00Z,High Littleton,H,5-4,W,"Stone, Jock Guyan, Wally Potts 2, Dewfall",SSC,2,17,1,5,4,NA,NA,NA,cup,NA,NA,NA
1954/55,1954-12-11T00:00:00Z,Gloucester City Reserves,H,1-4,L,Light,WL1,NA,18,15,1,4,NA,NA,NA,league,0,19,1.2666666666666666
1954/55,1954-12-18T00:00:00Z,Clandown,A,1-4,L,Light,WL1,NA,19,16,1,4,NA,NA,NA,league,0,19,1.1875
1954/55,1954-12-25T00:00:00Z,Radstock Town,H,7-1,W,"Woodford, Hollies, Wally Potts, Light, OG",WL1,NA,20,17,7,1,NA,NA,NA,league,3,22,1.2941176470588236
1954/55,1954-12-27T00:00:00Z,Radstock Town,A,3-0,W,"Jock Guyan, Wally Potts, Woodford",WL1,NA,21,18,3,0,NA,NA,NA,league,3,25,1.3888888888888888
1954/55,1955-01-01T00:00:00Z,Weston-super-Mare,H,1-1,D,Light,WL1,NA,22,19,1,1,NA,NA,NA,league,1,26,1.368421052631579
1954/55,1955-01-08T00:00:00Z,Bristol City Nomads,H,0-1,L,NA,SSC,3,23,2,0,1,NA,NA,NA,cup,NA,NA,NA
1954/55,1955-01-29T00:00:00Z,Paulton Rovers,A,5-4,W,"Guman, Higgs (OG), Smith 2, Wally Potts",WL1,NA,24,20,5,4,NA,NA,NA,league,3,29,1.45
1954/55,1955-02-05T00:00:00Z,Clandown,H,2-3,L,Waite (2),WL1,NA,25,21,2,3,NA,NA,NA,league,0,29,1.380952380952381
1954/55,1955-02-12T00:00:00Z,Hoffman Athletic,A,2-1,W,"Ilott (first Western League game), Wally Potts",WL1,NA,26,22,2,1,NA,NA,NA,league,3,32,1.4545454545454546
1954/55,1955-02-19T00:00:00Z,Trowbridge Town Reserves,H,1-1,D,Waite,WL1,NA,27,23,1,1,NA,NA,NA,league,1,33,1.434782608695652
1954/55,1955-02-26T00:00:00Z,Yeovil Town Reserves,A,0-5,L,NA,WL1,NA,28,24,0,5,NA,NA,NA,league,0,33,1.375
1954/55,1955-03-05T00:00:00Z,Poole Town Reserves,H,0-2,L,NA,WL1,NA,29,25,0,2,NA,NA,NA,league,0,33,1.32
1954/55,1955-03-12T00:00:00Z,Weston-super-Mare,A,1-4,L,Woodland,WL1,NA,30,26,1,4,NA,NA,NA,league,0,33,1.2692307692307692
1954/55,1955-03-26T00:00:00Z,Minehead,A,1-3,L,Wally Potts,WL1,NA,31,27,1,3,NA,NA,NA,league,0,33,1.2222222222222223
1954/55,1955-04-02T00:00:00Z,Minehead,H,1-0,W,Light,WL1,NA,32,28,1,0,NA,NA,NA,league,3,36,1.2857142857142858
1954/55,1955-04-08T00:00:00Z,Taunton,H,2-0,W,"Woodford (p), Light",WL1,NA,33,29,2,0,NA,NA,NA,league,3,39,1.3448275862068966
1954/55,1955-04-09T00:00:00Z,Stonehouse,A,4-2,W,"Smith 3, Fielding",WL1,NA,34,30,4,2,NA,NA,NA,league,3,42,1.4
1954/55,1955-04-11T00:00:00Z,Taunton,A,0-4,L,NA,WL1,NA,35,31,0,4,NA,NA,NA,league,0,42,1.3548387096774193
1954/55,1955-04-16T00:00:00Z,Trowbridge Town Reserves,A,0-1,L,NA,WL1,NA,36,32,0,1,NA,NA,NA,league,0,42,1.3125
1954/55,1955-04-23T00:00:00Z,Hoffman Athletic,H,4-0,W,"Watts, Wally Potts, Smith, Jock Guyan",WL1,NA,37,33,4,0,NA,NA,NA,league,3,45,1.3636363636363635
1954/55,1955-05-03T00:00:00Z,Frome Town,H,1-2,L,Jerry Fielding,WL1,NA,38,34,1,2,NA,NA,NA,league,0,45,1.3235294117647058
1955/56,1955-08-20T00:00:00Z,Taunton,A,1-4,L,Unknown,WL1,NA,1,1,1,4,NA,NA,NA,league,0,0,0
1955/56,1955-08-24T00:00:00Z,Paulton Rovers,A,5-0,W,"Lawrence 2, Smith, Jock Guyan 2",WL1,NA,2,2,5,0,NA,NA,NA,league,3,3,1.5
1955/56,1955-08-27T00:00:00Z,Weston-super-Mare,H,1-4,L,Wally Potts,WL1,NA,3,3,1,4,NA,NA,NA,league,0,3,1
1955/56,1955-08-31T00:00:00Z,Paulton Rovers,H,3-0,W,"Woodford, Wally Potts, Pearce",WL1,NA,4,4,3,0,NA,NA,NA,league,3,6,1.5
1955/56,1955-09-03T00:00:00Z,Stonehouse,A,1-3,L,O’Reilly,WL1,NA,5,5,1,3,NA,NA,NA,league,0,6,1.2
1955/56,1955-09-05T00:00:00Z,Peasedown Miners Welfare,H,1-2,L,Smith,WL1,NA,6,6,1,2,NA,NA,NA,league,0,6,1
1955/56,1955-09-10T00:00:00Z,Bulford United,A,1-1,D,Wally Potts,FAC,P,7,1,1,1,NA,NA,NA,cup,NA,NA,NA
1955/56,1955-09-13T00:00:00Z,Bulford United,H,1-3,L,O’Reilly,FAC,PR,8,2,1,3,NA,NA,NA,cup,NA,NA,NA
1955/56,1955-09-17T00:00:00Z,Brimscombe,H,4-0,W,"Hawkins 2, Smith 2",FAAm,EP,9,1,4,0,NA,NA,NA,cup,NA,NA,NA
1955/56,1955-09-24T00:00:00Z,Clandown,A,3-1,W,"Smith 2, Jock Guyan",WL1,NA,10,7,3,1,NA,NA,NA,league,3,9,1.2857142857142858
1955/56,1955-10-01T00:00:00Z,Melksham Town,A,4-0,W,"Jock Guyan, Hawkins 2, Smith",FAAm,P,11,2,4,0,NA,NA,NA,cup,NA,NA,NA
1955/56,1955-10-08T00:00:00Z,Ilfracombe Town,A,1-4,L,Smith,WL1,NA,12,8,1,4,NA,NA,NA,league,0,9,1.125
1955/56,1955-10-15T00:00:00Z,Purton,A,1-2,L,Holloway,FAAm,1Q,13,3,1,2,NA,NA,NA,cup,NA,NA,NA
1955/56,1955-10-29T00:00:00Z,Trowbridge Town Reserves,H,4-0,W,"Bill Cuff, Lear, Hawkins, Wally Potts",WL1,NA,14,9,4,0,NA,NA,NA,league,3,12,1.3333333333333333
1955/56,1955-11-05T00:00:00Z,Cinderford Town,A,3-2,W,"Wally Potts, Hawkins 2",WL1,NA,15,10,3,2,NA,NA,NA,league,3,15,1.5
1955/56,1955-11-12T00:00:00Z,Ilfracombe Town,H,1-0,W,Bill Cuff,WL1,NA,16,11,1,0,NA,NA,NA,league,3,18,1.6363636363636365
1955/56,1955-11-19T00:00:00Z,Stonehouse,H,3-1,W,"Bill Cuff, Hawkins 2",WL1,NA,17,12,3,1,NA,NA,NA,league,3,21,1.75
1955/56,1955-11-26T00:00:00Z,Poole Town Reserves,A,0-3,L,NA,WL1,NA,18,13,0,3,NA,NA,NA,league,0,21,1.6153846153846154
1955/56,1955-12-03T00:00:00Z,Shepton Mallet Town,H,7-1,W,"Bill Cuff 2, Wally Potts 2, Hawkins 2, Hazzall",SSC,2,19,1,7,1,NA,NA,NA,cup,NA,NA,NA
1955/56,1955-12-10T00:00:00Z,Frome Town Reserves,H,2-3,L,"Wally Potts, Hawkins",WL1,NA,20,14,2,3,NA,NA,NA,league,0,21,1.5
1955/56,1955-12-17T00:00:00Z,Trowbridge Town Reserves,A,3-3,D,"Wally Potts, Bill Cuff, Hawkins",WL1,NA,21,15,3,3,NA,NA,NA,league,1,22,1.4666666666666666
1955/56,1955-12-24T00:00:00Z,Gloucester City Reserves,H,3-1,W,"Hawkins 2, Hazzall",WL1,NA,22,16,3,1,NA,NA,NA,league,3,25,1.5625
1955/56,1955-12-26T00:00:00Z,Radstock Town,A,6-2,W,Unknown,WL1,NA,23,17,6,2,NA,NA,NA,league,3,28,1.6470588235294117
1955/56,1955-12-27T00:00:00Z,Radstock Town,H,3-1,W,"Hawkins 2, Wally Potts",WL1,NA,24,18,3,1,NA,NA,NA,league,3,31,1.7222222222222223
1955/56,1955-12-31T00:00:00Z,Peasedown Miners Welfare,A,1-3,L,Hawkins,WL1,NA,25,19,1,3,NA,NA,NA,league,0,31,1.631578947368421
1955/56,1956-01-07T00:00:00Z,Clandown,A,4-0,W,"Fielding, O’Reilly 2, Smith",SSC,3,26,2,4,0,NA,NA,NA,cup,NA,NA,NA
1955/56,1956-01-14T00:00:00Z,Torquay United Reserves,H,1-5,L,O’Reilly,WL1,NA,27,20,1,5,NA,NA,NA,league,0,31,1.55
1955/56,1956-01-21T00:00:00Z,Chippenham Town Reserves,A,4-4,D,"Hawkins 2, O’Reilly, Bill Cuff",WL1,NA,28,21,4,4,NA,NA,NA,league,1,32,1.5238095238095237
1955/56,1956-01-28T00:00:00Z,Gloucester City Reserves,A,1-5,L,Lear,WL1,NA,29,22,1,5,NA,NA,NA,league,0,32,1.4545454545454546
1955/56,1956-02-04T00:00:00Z,Clevedon,A,1-4,L,O’Reilly,SSC,4,30,3,1,4,NA,NA,NA,cup,NA,NA,NA
1955/56,1956-02-11T00:00:00Z,Hoffman Athletic,H,1-1,D,Smith,WL1,NA,31,23,1,1,NA,NA,NA,league,1,33,1.434782608695652
1955/56,1956-02-18T00:00:00Z,Minehead,A,1-3,L,Wally Potts,WL1,NA,32,24,1,3,NA,NA,NA,league,0,33,1.375
1955/56,1956-03-03T00:00:00Z,Hoffman Athletic,A,1-2,L,Unknown,WL1,NA,33,25,1,2,NA,NA,NA,league,0,33,1.32
1955/56,1956-03-10T00:00:00Z,Chippenham Town Reserves,H,1-5,L,Smith,WL1,NA,34,26,1,5,NA,NA,NA,league,0,33,1.2692307692307692
1955/56,1956-03-24T00:00:00Z,Street,H,4-1,W,"Hawkins 3, Wally Potts",WL1,NA,35,27,4,1,NA,NA,NA,league,3,36,1.3333333333333333
1955/56,1956-03-30T00:00:00Z,Clevedon,H,2-4,L,Hawkins 2,WL1,NA,36,28,2,4,NA,NA,NA,league,0,36,1.2857142857142858
1955/56,1956-03-31T00:00:00Z,Cinderford Town,H,1-1,D,Hawkins,WL1,NA,37,29,1,1,NA,NA,NA,league,1,37,1.2758620689655173
1955/56,1956-04-02T00:00:00Z,Clevedon,A,1-4,L,Thomas,WL1,NA,38,30,1,4,NA,NA,NA,league,0,37,1.2333333333333334
1955/56,1956-04-07T00:00:00Z,Clandown,H,3-3,D,"Hawkins 2, Wally Potts",WL1,NA,39,31,3,3,NA,NA,NA,league,1,38,1.2258064516129032
1955/56,1956-04-14T00:00:00Z,Torquay United Reserves,A,0-7,L,NA,WL1,NA,40,32,0,7,NA,NA,NA,league,0,38,1.1875
1955/56,1956-04-21T00:00:00Z,Street,A,0-1,L,NA,WL1,NA,41,33,0,1,NA,NA,NA,league,0,38,1.1515151515151516
1955/56,1956-04-23T00:00:00Z,Taunton,H,0-1,L,NA,WL1,NA,42,34,0,1,NA,NA,NA,league,0,38,1.1176470588235294
1955/56,1956-04-26T00:00:00Z,Minehead,H,3-2,W,"Shepherd, Wally Potts, Hawkins",WL1,NA,43,35,3,2,NA,NA,NA,league,3,41,1.1714285714285715
1955/56,1956-04-28T00:00:00Z,Frome Town Reserves,A,2-5,L,"Bill Cuff, Hawkins",WL1,NA,44,36,2,5,NA,NA,NA,league,0,41,1.1388888888888888
1955/56,1956-04-30T00:00:00Z,Weston-super-Mare,A,1-3,L,Smith,WL1,NA,45,37,1,3,NA,NA,NA,league,0,41,1.1081081081081081
1955/56,1956-05-02T00:00:00Z,Poole Town Reserves,H,1-1,D,Smith,WL1,NA,46,38,1,1,NA,NA,NA,league,1,42,1.105263157894737
1956/57,1956-08-25T00:00:00Z,Poole Town Reserves,A,0-4,L,NA,WL1,NA,1,1,0,4,NA,NA,NA,league,0,0,0
